,country,year,gdp_per_capita,suicides/100k pop,75+ years,55-74 years,35-54 years,25-34 years,15-24 years,5-14 years,male,female,HDI for year
21,Albania,2010,4359,41.66,7.04,11.17,8.42,8.28,5.859999999999999,0.89,26.18,15.48,0.722
22,Antigua and Barbuda,1985,3850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
23,Antigua and Barbuda,1986,4740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
24,Antigua and Barbuda,1987,5595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
25,Antigua and Barbuda,1988,6693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
26,Antigua and Barbuda,1989,7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
27,Antigua and Barbuda,1990,7744,17.24,0.0,0.0,17.24,0.0,0.0,0.0,17.24,0.0,0.7816666666666667
28,Antigua and Barbuda,1991,7976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
29,Antigua and Barbuda,1992,8087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
30,Antigua and Barbuda,1993,8453,15.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.7816666666666667
31,Antigua and Barbuda,1994,9062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
32,Antigua and Barbuda,1995,8636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
33,Antigua and Barbuda,1998,10078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
34,Antigua and Barbuda,1999,10378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
35,Antigua and Barbuda,2000,11021,39.97,0.0,30.0,9.97,0.0,0.0,0.0,39.97,0.0,0.7816666666666667
36,Antigua and Barbuda,2001,10468,19.45,0.0,0.0,19.45,0.0,0.0,0.0,19.45,0.0,0.7816666666666667
37,Antigua and Barbuda,2002,10499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
38,Antigua and Barbuda,2003,10878,27.82,0.0,27.82,0.0,0.0,0.0,0.0,27.82,0.0,0.7816666666666667
39,Antigua and Barbuda,2004,11535,36.06,0.0,27.29,8.77,0.0,0.0,0.0,36.06,0.0,0.7816666666666667
40,Antigua and Barbuda,2005,12649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
41,Antigua and Barbuda,2006,14114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
42,Antigua and Barbuda,2007,15775,7.98,0.0,0.0,7.98,0.0,0.0,0.0,7.98,0.0,0.7816666666666667
43,Antigua and Barbuda,2008,16238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
44,Antigua and Barbuda,2009,14335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816666666666667
45,Antigua and Barbuda,2012,13657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781
46,Antigua and Barbuda,2013,13287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781
47,Antigua and Barbuda,2014,14093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783
48,Antigua and Barbuda,2015,14853,15.62,0.0,15.62,0.0,0.0,0.0,0.0,0.0,15.62,0.7816666666666667
49,Argentina,1985,3264,134.47,63.29,33.4,16.6,10.89,9.39,0.9,107.22,27.25,0.694
50,Argentina,1986,4072,152.9,71.9,35.06,19.77,13.670000000000002,11.93,0.5700000000000001,120.89,32.01,0.7796
51,Argentina,1987,4026,144.98,64.5,35.69,20.25,12.44,11.149999999999999,0.95,110.56,34.42,0.7796
52,Argentina,1988,4458,146.24,65.23,36.120000000000005,19.259999999999998,12.19,12.469999999999999,0.97,113.61,32.63,0.7796
53,Argentina,1989,2670,138.93,62.45,34.25,17.630000000000003,13.29,10.41,0.9,108.35000000000001,30.58,0.7796
54,Argentina,1990,4859,134.9,64.46,31.259999999999998,16.630000000000003,11.3,10.14,1.11,105.88,29.02,0.705
55,Argentina,1991,6404,119.24,54.06,27.82,14.719999999999999,12.73,8.81,1.1,95.42999999999999,23.81,0.7796
56,Argentina,1992,7615,126.86,54.69,29.04,17.22,13.23,11.629999999999999,1.05,103.92999999999999,22.93,0.7796
57,Argentina,1993,7768,134.77,63.67,28.86,17.25,13.21,10.55,1.23,111.52,23.25,0.7796
58,Argentina,1994,8328,122.05,50.1,28.419999999999998,18.25,12.579999999999998,11.559999999999999,1.1400000000000001,101.33,20.72,0.7796
59,Argentina,1995,8232,119.97,50.4,28.36,16.32,11.65,12.21,1.03,98.27,21.7,0.731
60,Argentina,1996,8563,118.03,50.1,25.69,18.0,11.39,12.149999999999999,0.7,95.23,22.8,0.7796
61,Argentina,1997,9057,111.4,45.28,25.2,16.77,11.57,11.700000000000001,0.8800000000000001,90.14,21.26,0.7796
62,Argentina,1998,9126,116.92999999999999,45.87,27.96,16.28,12.120000000000001,13.64,1.06,95.96,20.97,0.7796
63,Argentina,1999,8546,117.19,44.37,28.48,16.830000000000002,12.37,13.95,1.19,98.32,18.87,0.7796
64,Argentina,2000,8462,131.39,48.74,30.62,18.2,15.13,17.57,1.13,111.32000000000001,20.07,0.762
65,Argentina,2001,7900,143.56,51.489999999999995,32.85,19.96,17.07,20.67,1.52,119.1,24.46,0.7796
66,Argentina,2002,2840,139.42000000000002,47.040000000000006,32.11,19.22,18.22,21.11,1.7200000000000002,114.10000000000001,25.32,0.7796
67,Argentina,2003,3668,146.29,53.26,28.979999999999997,19.2,18.43,24.64,1.78,121.55,24.740000000000002,0.7796
68,Argentina,2004,4683,131.06,42.91,25.029999999999998,18.14,18.56,24.47,1.95,108.56,22.5,0.7796
69,Argentina,2005,5590,128.18,42.79,24.99,16.23,18.46,23.619999999999997,2.09,104.94,23.24,0.775
70,Argentina,2006,6475,128.22,42.42,23.020000000000003,16.86,19.16,24.89,1.87,108.58,19.64,0.7796
71,Argentina,2007,7918,118.35,38.1,20.52,16.24,19.72,21.5,2.27,99.28,19.07,0.7796
72,Argentina,2008,9843,118.11,35.22,21.1,16.65,19.709999999999997,23.75,1.6800000000000002,98.89999999999999,19.21,0.7796
73,Argentina,2009,8961,107.32,29.15,19.73,15.04,18.99,22.63,1.7799999999999998,89.51,17.81,0.7796
74,Argentina,2010,11273,111.24,34.1,17.57,15.7,18.13,24.24,1.5,93.84,17.4,0.811
75,Argentina,2011,13946,105.87,28.759999999999998,17.77,13.850000000000001,18.810000000000002,25.060000000000002,1.62,88.33,17.54,0.818
76,Argentina,2012,14203,119.82,35.25,19.12,14.719999999999999,22.01,27.43,1.29,101.05,18.77,0.831
77,Argentina,2013,14206,103.42,26.26,16.759999999999998,15.28,18.41,24.89,1.82,86.1,17.32,0.8329999999999999
78,Argentina,2014,13400,111.35,29.05,16.87,16.5,19.86,27.15,1.92,91.87,19.48,0.836
79,Argentina,2015,14981,112.13,36.39,17.86,15.379999999999999,17.650000000000002,23.25,1.6,94.87,17.259999999999998,0.7796
80,Armenia,1990,756,41.12,9.469999999999999,8.66,11.7,6.46,4.83,0.0,29.8,11.32,0.632
81,Armenia,1991,640,45.87,21.14,8.870000000000001,6.289999999999999,7.54,2.03,0.0,34.21,11.66,0.690125
82,Armenia,1992,385,40.86,14.39,10.77,7.56,4.8,3.34,0.0,31.509999999999998,9.35,0.690125
83,Armenia,1993,357,51.05,18.34,13.9,8.14,7.35,3.32,0.0,30.45,20.6,0.690125
84,Armenia,1994,387,66.73,34.49,14.780000000000001,9.7,3.68,3.29,0.79,47.25,19.48,0.690125
85,Armenia,1995,426,51.79,11.03,15.700000000000001,9.86,10.76,4.18,0.26,37.91,13.879999999999999,0.605
86,Armenia,1996,458,37.05,10.75,11.28,7.3500000000000005,5.57,1.57,0.53,30.0,7.05,0.690125
87,Armenia,1997,465,32.23,9.35,11.16,6.71,3.53,1.22,0.26,22.81,9.42,0.690125
88,Armenia,1998,532,27.42,8.64,8.57,6.26,2.49,1.19,0.27,21.16,6.26,0.690125
89,Armenia,1999,515,24.68,5.28,9.33,5.49,2.84,1.74,0.0,14.92,9.76,0.690125
90,Armenia,2000,530,34.300000000000004,18.16,7.3500000000000005,3.9200000000000004,3.19,1.68,0.0,23.8,10.5,0.648
91,Armenia,2001,587,29.78,13.49,8.85,4.38,1.06,1.11,0.89,21.48,8.3,0.690125
92,Armenia,2002,788,38.07,12.030000000000001,10.86,6.54,6.26,2.04,0.34,33.1,4.97,0.690125
93,Armenia,2003,928,33.43,14.0,8.41,5.59,4.75,0.33,0.35,26.830000000000002,6.6,0.690125
94,Armenia,2006,2310,43.67,15.010000000000002,14.73,5.74,4.12,3.62,0.45,35.74,7.930000000000001,0.690125
95,Armenia,2007,3366,39.019999999999996,15.459999999999999,10.34,7.05,2.09,3.61,0.47,31.599999999999998,7.42,0.690125
96,Armenia,2008,3829,35.15,14.93,10.97,4.65,2.39,1.26,0.95,29.53,5.62,0.690125
97,Armenia,2009,3215,33.7,17.009999999999998,7.01,5.52,1.88,2.28,0.0,29.32,4.38,0.690125
98,Armenia,2010,3460,40.410000000000004,13.920000000000002,9.49,5.5,5.35,3.91,2.24,31.67,8.74,0.721
99,Armenia,2011,3798,32.98,10.52,6.81,7.45,3.81,4.390000000000001,0.0,22.64,10.34,0.723
100,Armenia,2012,3773,36.57,12.120000000000001,6.64,8.530000000000001,6.0200000000000005,2.74,0.52,27.87,8.7,0.7280000000000001
101,Armenia,2013,3957,37.48,18.25,8.96,4.93,3.59,1.23,0.52,25.419999999999998,12.059999999999999,0.731
102,Armenia,2014,4142,37.01,21.09,6.7299999999999995,4.0600000000000005,2.37,2.18,0.58,27.57,9.44,0.733
103,Armenia,2015,3775,45.28,24.52,8.6,5.18,4.640000000000001,2.34,0.0,35.519999999999996,9.76,0.690125
118,Australia,1985,12374,163.41,39.99,32.42,29.35,32.5,28.52,0.63,127.11,36.3,0.9127500000000001
119,Australia,1986,12288,175.79,43.76,34.78,33.65,34.629999999999995,27.48,1.49,140.41,35.379999999999995,0.9127500000000001
120,Australia,1987,12564,188.82,54.36,35.07,34.71,33.06,31.07,0.5499999999999999,153.19,35.629999999999995,0.9127500000000001
121,Australia,1988,15393,179.32,45.400000000000006,33.29,33.15,36.760000000000005,30.169999999999998,0.5499999999999999,142.82,36.5,0.9127500000000001
122,Australia,1989,19223,168.11,40.96,33.870000000000005,28.25,35.31,29.01,0.71,135.62,32.49,0.9127500000000001
123,Australia,1990,19665,172.35,39.370000000000005,32.92,31.029999999999998,37.32,31.32,0.39,138.33,34.019999999999996,0.8649999999999999
124,Australia,1991,20320,180.15,47.75,28.330000000000002,35.3,36.6,31.38,0.79,144.46,35.69,0.9127500000000001
125,Australia,1992,20050,170.64000000000001,38.19,32.42,31.09,35.519999999999996,32.949999999999996,0.47,135.29,35.35,0.9127500000000001
126,Australia,1993,19030,154.95000000000002,37.53,27.580000000000002,28.77,33.12,27.41,0.54,126.75,28.2,0.9127500000000001
127,Australia,1994,19469,167.75,37.97,28.72,33.29,36.34,31.12,0.31,138.66,29.09,0.9127500000000001
128,Australia,1995,21902,155.19,31.990000000000002,25.57,30.69,37.38,29.259999999999998,0.3,124.65,30.54,0.882
129,Australia,1996,23526,175.34,40.22,29.74,33.14,39.76,31.33,1.15,145.37,29.97,0.9127500000000001
130,Australia,1997,25234,186.93,40.75,28.09,35.62,44.38,37.02,1.07,150.41,36.52,0.9127500000000001
131,Australia,1998,22897,176.41,31.86,26.889999999999997,36.29,47.919999999999995,32.86,0.59,142.21,34.2,0.9127500000000001
132,Australia,1999,22016,167.15,33.26,26.13,34.46,43.79,28.32,1.19,137.54999999999998,29.6,0.9127500000000001
133,Australia,2000,23219,157.82,32.69,24.080000000000002,34.089999999999996,39.9,26.4,0.6599999999999999,126.48,31.34,0.898
134,Australia,2001,20860,158.79,32.04,24.009999999999998,34.81,41.79,25.549999999999997,0.59,127.26,31.53,0.9127500000000001
135,Australia,2002,21474,144.68,27.270000000000003,21.950000000000003,33.87,38.67,22.330000000000002,0.59,114.58,30.1,0.9127500000000001
136,Australia,2003,25059,133.84,24.970000000000002,22.25,29.82,34.75,21.020000000000003,1.03,106.86,26.98,0.9127500000000001
137,Australia,2004,32454,133.76,31.28,20.98,29.13,32.45,19.34,0.58,107.33,26.43,0.9127500000000001
138,Australia,2006,39014,127.89,28.009999999999998,23.83,30.35,24.32,20.8,0.58,99.22,28.67,0.9127500000000001
139,Australia,2007,43171,130.25,27.28,22.42,30.310000000000002,29.35,20.02,0.8699999999999999,101.52,28.73,0.9127500000000001
140,Australia,2008,52315,130.49,25.33,23.36,32.9,29.43,18.68,0.7899999999999999,104.28999999999999,26.2,0.9127500000000001
141,Australia,2009,45128,130.12,29.25,23.21,31.86,28.12,17.46,0.22,100.6,29.52,0.9127500000000001
142,Australia,2010,54887,132.64000000000001,31.28,22.490000000000002,33.8,25.31,18.97,0.79,103.57000000000001,29.07,0.927
143,Australia,2011,66770,133.22,30.33,22.91,30.27,26.92,21.63,1.1600000000000001,102.58,30.64,0.93
144,Australia,2012,72669,139.57,32.29,23.89,34.07,27.18,20.990000000000002,1.15,105.56,34.01,0.932
145,Australia,2013,72856,138.78,31.17,25.18,32.85,25.0,23.060000000000002,1.52,105.7,33.08,0.9330000000000002
146,Australia,2014,66809,149.07,30.43,27.37,36.34,30.27,23.2,1.46,114.19,34.88,0.935
147,Australia,2015,60656,154.18,32.74,25.85,39.15,30.81,24.67,0.9600000000000001,118.24,35.94,0.9127500000000001
148,Austria,1985,9759,384.81,129.53,86.86,74.61,52.56,39.55,1.7,287.82,96.99,0.7639999999999999
149,Austria,1986,13911,401.8,140.85,83.69,73.02,62.54,40.41,1.29,303.15,98.65,0.8474999999999999
150,Austria,1987,17415,405.88,164.5,83.97,65.97,53.31,37.25,0.88,306.65,99.23,0.8474999999999999
151,Austria,1988,18663,357.64,141.29,74.83,60.1,48.56,31.96,0.9,274.23,83.41,0.8474999999999999
152,Austria,1989,18544,359.32,136.53,82.72999999999999,57.629999999999995,45.75,35.370000000000005,1.31,264.95,94.37,0.8474999999999999
153,Austria,1990,23020,353.78000000000003,148.73000000000002,75.06,57.64,40.760000000000005,30.91,0.68,266.47,87.31,0.794
154,Austria,1991,23808,355.46999999999997,157.77999999999997,73.37,54.260000000000005,36.97,32.660000000000004,0.43,282.11,73.36,0.8474999999999999
155,Austria,1992,26450,341.74,144.47,72.65,54.94,37.09,31.31,1.28,267.7,74.04,0.8474999999999999
156,Austria,1993,25611,347.96,161.16,67.03,48.88,40.31,28.45,2.13,276.23,71.73,0.8474999999999999
157,Austria,1994,27274,343.62,147.45,69.15,54.51,37.61,32.55,2.35,267.26,76.36,0.8474999999999999
158,Austria,1995,32237,348.09,154.27,66.38,53.44,42.2,30.15,1.65,276.75,71.34,0.815
159,Austria,1996,31660,342.65,155.8,69.97,54.89,37.01,24.15,0.83,272.55,70.1,0.8474999999999999
160,Austria,1997,28325,297.5,124.14,59.86,46.68,36.7,29.490000000000002,0.63,234.87,62.63,0.8474999999999999
161,Austria,1998,28972,289.38,122.85,60.459999999999994,47.019999999999996,31.95,25.43,1.67,231.65,57.73,0.8474999999999999
162,Austria,1999,28722,280.3,117.19,59.81,46.08,30.87,25.72,0.63,214.35999999999999,65.94,0.8474999999999999
163,Austria,2000,25922,289.77,122.81,63.84,44.41,29.43,27.58,1.7,225.83,63.94,0.836
164,Austria,2001,25848,261.91,106.88,57.45,42.3,30.340000000000003,24.509999999999998,0.43,201.91,60.0,0.8474999999999999
165,Austria,2002,27772,276.92,119.32000000000001,55.56,45.510000000000005,32.07,23.619999999999997,0.84,225.04,51.88,0.8474999999999999
166,Austria,2003,33889,257.06,111.67,52.53,41.74,26.36,24.14,0.62,201.44,55.62,0.8474999999999999
167,Austria,2004,38711,254.04,111.17999999999999,53.61,36.48,26.28,26.07,0.42,204.95,49.09,0.8474999999999999
168,Austria,2005,40367,235.25,98.26,53.370000000000005,38.42,24.619999999999997,19.720000000000002,0.86,185.41,49.84,0.8530000000000001
169,Austria,2006,42698,218.9,97.41,43.99,37.0,22.2,18.080000000000002,0.22,175.78,43.120000000000005,0.8474999999999999
170,Austria,2007,49218,217.31,94.10999999999999,46.410000000000004,32.519999999999996,22.869999999999997,20.96,0.44,171.82999999999998,45.48,0.8474999999999999
171,Austria,2008,54294,216.45,103.27,43.16,34.95,19.189999999999998,14.959999999999999,0.9199999999999999,174.47,41.98,0.8474999999999999
172,Austria,2009,50356,213.22,95.09,45.209999999999994,33.42,21.58,16.04,1.88,171.53,41.69,0.8474999999999999
173,Austria,2010,49181,207.55,89.25,43.99,32.97,20.29,20.35,0.7,167.84,39.71,0.879
174,Austria,2011,53923,211.49,93.38000000000001,44.24,33.37,22.0,17.55,0.95,169.57000000000002,41.92,0.8809999999999999
175,Austria,2012,50979,206.63,93.25,44.37,32.589999999999996,21.549999999999997,13.91,0.96,166.79,39.839999999999996,0.884
176,Austria,2013,53229,212.12,101.33,45.480000000000004,32.08,17.8,14.440000000000001,0.99,168.63,43.49,0.884
177,Austria,2014,54278,209.82,93.80000000000001,41.97,32.36,22.48,18.73,0.48,165.70000000000002,44.12,0.8850000000000001
178,Austria,2015,46484,194.62,88.86999999999999,42.14,30.67,16.84,15.61,0.49,155.48,39.14,0.8474999999999999
179,Azerbaijan,1990,1439,24.61,4.35,5.13,7.92,4.13,2.9499999999999997,0.13,18.47,6.14,0.6245
180,Azerbaijan,1991,1398,32.23,8.120000000000001,8.03,6.039999999999999,5.48,4.42,0.14,26.08,6.15,0.6245
181,Azerbaijan,1992,784,34.78,10.1,7.88,6.989999999999999,5.199999999999999,4.61,0.0,23.79,10.99,0.6245
182,Azerbaijan,1993,617,31.52,11.870000000000001,6.109999999999999,4.65,4.43,4.2,0.26,22.17,9.35,0.6245
183,Azerbaijan,1994,508,12.04,3.71,3.81,2.54,1.0499999999999998,0.9299999999999999,0.0,7.99,4.05,0.6245
184,Azerbaijan,1995,462,14.280000000000001,6.51,2.12,3.0700000000000003,1.22,1.36,0.0,12.38,1.9,0.609
185,Azerbaijan,1996,476,17.830000000000002,5.880000000000001,5.39,2.42,2.3099999999999996,1.83,0.0,13.06,4.7700000000000005,0.6245
186,Azerbaijan,1997,590,18.59,0.0,6.85,5.93,3.81,2.0,0.0,15.35,3.24,0.6245
187,Azerbaijan,1998,631,10.67,2.06,2.79,3.2199999999999998,1.76,0.73,0.11,6.59,4.08,0.6245
188,Azerbaijan,1999,645,8.58,0.0,2.62,3.08,1.73,1.15,0.0,7.1000000000000005,1.48,0.6245
189,Azerbaijan,2000,711,14.41,5.04,3.18,1.8,2.25,2.0300000000000002,0.11,9.93,4.4799999999999995,0.64
190,Azerbaijan,2001,759,60.05,14.18,14.39,9.62,10.06,8.36,3.44,41.39,18.66,0.6245
191,Azerbaijan,2002,820,19.419999999999998,5.51,6.699999999999999,3.89,1.6099999999999999,1.2599999999999998,0.45,15.6,3.82,0.6245
192,Azerbaijan,2003,948,27.07,10.129999999999999,5.5,4.890000000000001,2.43,3.18,0.94,18.47,8.6,0.6245
193,Azerbaijan,2004,1122,18.33,5.02,3.07,4.66,3.06,1.66,0.86,10.01,8.32,0.6245
194,Azerbaijan,2007,4172,11.83,4.83,2.3200000000000003,1.7000000000000002,1.52,0.8999999999999999,0.56,9.51,2.32,0.6245
195,Bahamas,1985,11393,4.76,0.0,0.0,4.76,0.0,0.0,0.0,4.76,0.0,0.7798333333333334
196,Bahamas,1987,12286,13.59,0.0,0.0,8.81,4.78,0.0,0.0,13.59,0.0,0.7798333333333334
197,Bahamas,1993,12698,37.51,0.0,18.5,7.41,7.87,3.73,0.0,29.11,8.4,0.7798333333333334
198,Bahamas,1994,13073,10.6,0.0,0.0,10.6,0.0,0.0,0.0,10.6,0.0,0.7798333333333334
199,Bahamas,1995,13473,7.16,0.0,0.0,3.36,3.8,0.0,0.0,7.16,0.0,0.7798333333333334
200,Bahamas,1996,14297,9.82,0.0,0.0,9.82,0.0,0.0,0.0,9.82,0.0,0.7798333333333334
201,Bahamas,1997,24740,7.15,0.0,0.0,3.14,4.01,0.0,0.0,7.15,0.0,0.7798333333333334
202,Bahamas,1998,26269,11.09,0.0,0.0,3.01,8.08,0.0,0.0,11.09,0.0,0.7798333333333334
203,Bahamas,1999,29019,22.96,0.0,0.0,2.88,16.16,3.92,0.0,19.02,3.94,0.7798333333333334
204,Bahamas,2000,29942,40.66,0.0,6.47,13.87,16.44,3.88,0.0,30.310000000000002,10.35,0.778
205,Bahamas,2001,30122,2.68,0.0,0.0,2.68,0.0,0.0,0.0,2.68,0.0,0.7798333333333334
206,Bahamas,2002,31432,9.969999999999999,0.0,0.0,2.59,0.0,7.38,0.0,9.969999999999999,0.0,0.7798333333333334
207,Bahamas,2003,30704,2.49,0.0,0.0,2.49,0.0,0.0,0.0,2.49,0.0,0.7798333333333334
208,Bahamas,2004,30671,5.93,0.0,0.0,2.4,0.0,3.53,0.0,5.93,0.0,0.7798333333333334
209,Bahamas,2005,32596,13.32,0.0,0.0,2.32,7.51,0.0,3.49,9.6,3.72,0.7799999999999999
210,Bahamas,2006,32957,5.640000000000001,0.0,0.0,2.25,0.0,3.39,0.0,5.640000000000001,0.0,0.7798333333333334
211,Bahamas,2007,33710,13.42,0.0,0.0,6.41,3.7,3.31,0.0,11.38,2.04,0.7798333333333334
212,Bahamas,2008,32746,12.49,0.0,0.0,2.12,3.65,3.24,3.48,12.49,0.0,0.7798333333333334
213,Bahamas,2009,30450,15.98,0.0,0.0,6.029999999999999,3.59,6.36,0.0,14.05,1.93,0.7798333333333334
214,Bahamas,2010,30239,58.32,32.36,8.7,7.84,0.0,9.42,0.0,46.17,12.15,0.774
215,Bahamas,2011,29761,12.99,0.0,4.51,1.96,3.43,3.09,0.0,9.559999999999999,3.43,0.778
216,Bahamas,2012,31204,11.84,0.0,0.0,5.73,0.0,6.11,0.0,10.0,1.84,0.783
217,Bahamas,2013,30455,13.91,0.0,8.23,5.68,0.0,0.0,0.0,12.08,1.83,0.786
218,Bahrain,1985,9980,20.12,0.0,0.0,9.76,10.36,0.0,0.0,16.4,3.72,0.727
219,Bahrain,1987,9321,25.68,0.0,8.47,6.29,8.33,2.59,0.0,19.450000000000003,6.23,0.8046249999999999
220,Bahrain,1988,9501,24.8,0.0,0.0,9.54,12.99,2.27,0.0,21.56,3.24,0.8046249999999999
221,Bahrain,1997,11985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8046249999999999
222,Bahrain,1998,11325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8046249999999999
223,Bahrain,1999,11703,22.46,0.0,0.0,5.43,11.57,5.46,0.0,16.89,5.569999999999999,0.8046249999999999
224,Bahrain,2000,15345,32.730000000000004,0.0,0.0,8.92,20.43,3.38,0.0,30.85,1.88,0.794
225,Bahrain,2001,14383,30.66,0.0,5.58,8.24,10.59,4.76,1.49,25.57,5.09,0.8046249999999999
226,Bahrain,2002,14572,27.68,0.0,0.0,12.71,8.88,6.09,0.0,16.93,10.75,0.8046249999999999
227,Bahrain,2003,15756,32.39,0.0,0.0,12.38,16.4,3.61,0.0,24.5,7.89,0.8046249999999999
228,Bahrain,2004,17497,54.21,0.0,19.31,10.370000000000001,20.68,3.8499999999999996,0.0,44.47,9.74,0.8046249999999999
229,Bahrain,2005,19485,40.22,0.0,7.34,10.18,14.61,8.09,0.0,30.89,9.33,0.816
230,Bahrain,2006,20826,27.18,0.0,3.34,4.54,13.79,5.51,0.0,13.62,13.56,0.8046249999999999
231,Bahrain,2007,22524,32.09,0.0,6.07,7.94,11.34,6.74,0.0,25.48,6.61,0.8046249999999999
232,Bahrain,2008,25106,27.89,0.0,2.79,8.36,12.81,3.93,0.0,19.22,8.67,0.8046249999999999
233,Bahrain,2009,20988,24.59,0.0,2.63,7.449999999999999,8.07,3.91,2.53,18.89,5.699999999999999,0.8046249999999999
234,Bahrain,2010,22572,11.89,0.0,2.38,4.76,3.51,1.24,0.0,8.1,3.79,0.819
235,Bahrain,2011,26078,14.96,0.0,2.28,3.27,3.85,4.2700000000000005,1.29,8.69,6.2700000000000005,0.8169999999999998
236,Bahrain,2012,25587,8.68,0.0,0.0,2.24,5.54,0.9,0.0,7.78,0.9,0.819
237,Bahrain,2013,26793,2.49,0.0,0.0,0.74,0.84,0.91,0.0,2.49,0.0,0.8210000000000001
238,Bahrain,2014,27503,6.5200000000000005,0.0,0.0,0.39,2.16,3.97,0.0,5.62,0.9,0.824
239,Barbados,1985,6137,61.72,25.0,23.08,0.0,13.64,0.0,0.0,52.629999999999995,9.09,0.6999999999999998
240,Barbados,1986,6720,36.73,0.0,0.0,20.0,9.1,7.63,0.0,32.18,4.55,0.7565555555555554
241,Barbados,1987,7333,29.46,0.0,7.69,13.149999999999999,4.5,0.0,4.12,21.26,8.2,0.7565555555555554
